epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2861,1.66535,3.41879,1.51654,0.66701,0.16094,0.1915,0.09672,1.45964,2.73999,1.49548,0.0703191,0.00329787,0.00329787
2,25.9013,1.62561,2.15442,1.49467,0.47524,0.33019,0.28126,0.14328,1.60365,1.96517,1.5556,0.0401879,0.00649991,0.00649991
3,37.2387,1.63513,1.98002,1.49743,0.4915,0.34266,0.30867,0.152,1.67345,2.05553,1.64368,0.00992455,0.00956994,0.00956994
4,48.3402,1.61207,1.9057,1.49581,0.46049,0.31022,0.31235,0.15605,1.6939,2.0849,1.70521,0.009406,0.009406,0.009406
5,59.5071,1.64863,1.83851,1.48729,0.39624,0.29365,0.27258,0.11454,1.98075,2.16623,1.85234,0.009208,0.009208,0.009208
6,70.506,1.5793,1.7791,1.47183,0.47175,0.3106,0.3105,0.15193,1.74473,2.0148,1.71129,0.00901,0.00901,0.00901
7,81.3926,1.56449,1.70857,1.45795,0.49726,0.3537,0.3763,0.1923,1.6453,1.7008,1.60007,0.008812,0.008812,0.008812
8,92.2327,1.53506,1.6559,1.4199,0.55624,0.31677,0.31957,0.16401,1.68592,1.90682,1.62384,0.008614,0.008614,0.008614
9,102.997,1.51655,1.59927,1.41373,0.59803,0.37913,0.38315,0.19219,1.67973,1.73805,1.59392,0.008416,0.008416,0.008416
10,113.919,1.4914,1.54886,1.39444,0.49387,0.36872,0.37628,0.20185,1.62991,1.74321,1.57898,0.008218,0.008218,0.008218
11,124.778,1.49804,1.52839,1.39002,0.47258,0.40216,0.38868,0.20775,1.64244,1.60832,1.5896,0.00802,0.00802,0.00802
12,135.777,1.46289,1.46621,1.36888,0.5125,0.4448,0.42579,0.23293,1.51152,1.54743,1.50581,0.007822,0.007822,0.007822
13,146.709,1.45606,1.44587,1.3572,0.62823,0.40495,0.42906,0.23263,1.56318,1.57447,1.53918,0.007624,0.007624,0.007624
14,157.651,1.42785,1.40512,1.34513,0.61985,0.43127,0.43569,0.23324,1.5582,1.53234,1.54689,0.007426,0.007426,0.007426
15,168.237,1.4168,1.37626,1.34133,0.56349,0.43732,0.44849,0.24479,1.54626,1.50614,1.52314,0.007228,0.007228,0.007228
16,179.142,1.39451,1.33265,1.32641,0.58242,0.41853,0.44688,0.22935,1.60142,1.53275,1.54052,0.00703,0.00703,0.00703
17,189.949,1.37993,1.30414,1.31114,0.61322,0.40266,0.44665,0.23761,1.55556,1.51232,1.50037,0.006832,0.006832,0.006832
18,200.798,1.36084,1.28459,1.29858,0.58535,0.43046,0.44769,0.24458,1.55698,1.53981,1.53532,0.006634,0.006634,0.006634
19,211.632,1.3708,1.27402,1.30342,0.60018,0.42932,0.45056,0.24639,1.53172,1.44163,1.50515,0.006436,0.006436,0.006436
20,222.496,1.34075,1.21312,1.28413,0.60756,0.44434,0.45755,0.25298,1.52449,1.45764,1.4929,0.006238,0.006238,0.006238
21,233.396,1.34475,1.21729,1.28822,0.54875,0.46869,0.44743,0.25362,1.47424,1.47261,1.44541,0.00604,0.00604,0.00604
22,243.898,1.32487,1.19538,1.2713,0.66652,0.43818,0.47041,0.26745,1.49189,1.41371,1.46508,0.005842,0.005842,0.005842
23,254.777,1.31914,1.17742,1.26548,0.66089,0.46464,0.49738,0.28493,1.48085,1.40671,1.47405,0.005644,0.005644,0.005644
24,265.557,1.28098,1.14975,1.25184,0.60659,0.4791,0.4905,0.27337,1.50759,1.35018,1.48471,0.005446,0.005446,0.005446
25,276.48,1.29774,1.1249,1.24509,0.63699,0.45524,0.48514,0.2728,1.48479,1.35072,1.45231,0.005248,0.005248,0.005248
26,287.152,1.27283,1.11917,1.2434,0.61886,0.50384,0.50485,0.28274,1.528,1.32034,1.47595,0.00505,0.00505,0.00505
27,298.142,1.26711,1.11322,1.23192,0.59449,0.48047,0.49102,0.28312,1.44879,1.38961,1.43642,0.004852,0.004852,0.004852
28,308.821,1.25042,1.08783,1.24228,0.5781,0.47049,0.48818,0.2773,1.47357,1.3698,1.46383,0.004654,0.004654,0.004654
29,319.641,1.25169,1.07119,1.21641,0.6736,0.46954,0.50613,0.28815,1.47832,1.31952,1.44878,0.004456,0.004456,0.004456
