epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,19.0563,1.67962,2.70127,1.56195,0.57257,0.3916,0.40337,0.21157,1.39123,1.54947,1.38591,0.0703191,0.00329787,0.00329787
2,36.7195,1.49541,1.43596,1.3755,0.59678,0.49276,0.48212,0.25602,1.54103,1.4233,1.43211,0.0401879,0.00649991,0.00649991
3,53.9631,1.48649,1.37885,1.36481,0.64635,0.43877,0.46521,0.25549,1.50032,1.47495,1.42054,0.00992455,0.00956994,0.00956994
4,71.0205,1.4673,1.33962,1.35833,0.52314,0.41715,0.41689,0.22109,1.57281,1.588,1.49345,0.009406,0.009406,0.009406
5,88.3053,1.48301,1.27568,1.34507,0.62464,0.44626,0.47743,0.24777,1.62647,1.45235,1.536,0.009208,0.009208,0.009208
6,105.381,1.42396,1.22476,1.33379,0.57923,0.45828,0.48324,0.26587,1.53754,1.37505,1.48725,0.00901,0.00901,0.00901
7,122.787,1.40742,1.18893,1.31607,0.4922,0.43686,0.42879,0.20847,1.80667,1.66224,1.63154,0.008812,0.008812,0.008812
8,139.847,1.38595,1.149,1.28994,0.52784,0.51967,0.47918,0.26968,1.49713,1.30625,1.4481,0.008614,0.008614,0.008614
9,157.055,1.35883,1.10758,1.28156,0.62354,0.4568,0.48658,0.26997,1.52073,1.3402,1.4426,0.008416,0.008416,0.008416
10,174.182,1.3224,1.06827,1.2611,0.66745,0.45132,0.49859,0.2886,1.44682,1.35464,1.41836,0.008218,0.008218,0.008218
11,191.471,1.33063,1.05265,1.26486,0.57972,0.50565,0.50267,0.26681,1.5558,1.34086,1.46366,0.00802,0.00802,0.00802
12,208.712,1.29753,1.01515,1.24142,0.63839,0.50974,0.53481,0.30892,1.43594,1.27419,1.40541,0.007822,0.007822,0.007822
13,225.954,1.29021,0.99439,1.23583,0.67395,0.47788,0.5164,0.29485,1.51192,1.26882,1.45888,0.007624,0.007624,0.007624
14,243.393,1.25973,0.95563,1.21533,0.61036,0.51549,0.53166,0.30555,1.45069,1.2034,1.41544,0.007426,0.007426,0.007426
15,260.494,1.24999,0.94214,1.2165,0.67248,0.488,0.52318,0.30428,1.43273,1.24543,1.4132,0.007228,0.007228,0.007228
16,277.589,1.218,0.91511,1.19996,0.61227,0.50046,0.52095,0.28415,1.54893,1.22072,1.4574,0.00703,0.00703,0.00703
17,294.683,1.20643,0.89786,1.19007,0.65251,0.4819,0.53475,0.31513,1.41151,1.19966,1.3883,0.006832,0.006832,0.006832
18,311.924,1.18669,0.88106,1.17749,0.62903,0.50312,0.5298,0.31189,1.40239,1.18694,1.39325,0.006634,0.006634,0.006634
19,329.028,1.18788,0.87232,1.17866,0.63617,0.50074,0.53052,0.31643,1.37722,1.25044,1.3634,0.006436,0.006436,0.006436
20,346.317,1.15943,0.83708,1.16123,0.66634,0.49987,0.52761,0.31251,1.38853,1.20048,1.3818,0.006238,0.006238,0.006238
21,363.467,1.15718,0.83692,1.16267,0.61266,0.52993,0.53675,0.31623,1.39774,1.20111,1.39941,0.00604,0.00604,0.00604
22,380.841,1.13357,0.80852,1.14448,0.66665,0.52702,0.54651,0.33245,1.36165,1.20728,1.36226,0.005842,0.005842,0.005842
23,398.29,1.12567,0.80036,1.14191,0.64598,0.53005,0.54918,0.32469,1.41801,1.17928,1.41498,0.005644,0.005644,0.005644
24,415.41,1.09293,0.77704,1.13151,0.66178,0.49976,0.53452,0.31068,1.43954,1.20893,1.40081,0.005446,0.005446,0.005446
25,432.67,1.10224,0.76905,1.12435,0.63358,0.51496,0.5295,0.32034,1.37477,1.16903,1.37883,0.005248,0.005248,0.005248
26,449.945,1.07721,0.75157,1.11828,0.66076,0.5282,0.55805,0.3215,1.43334,1.15171,1.40622,0.00505,0.00505,0.00505
27,467.266,1.07131,0.75047,1.11181,0.63507,0.52192,0.55174,0.32936,1.34186,1.15929,1.35318,0.004852,0.004852,0.004852
28,484.385,1.04923,0.73325,1.11452,0.68156,0.51553,0.55459,0.33575,1.35677,1.19157,1.36172,0.004654,0.004654,0.004654
29,501.94,1.0488,0.72016,1.09754,0.67978,0.54242,0.57095,0.34559,1.37325,1.17053,1.36216,0.004456,0.004456,0.004456
30,519.17,1.04178,0.7139,1.0923,0.68762,0.51802,0.56037,0.33639,1.40727,1.16192,1.39352,0.004258,0.004258,0.004258
31,536.345,1.01937,0.69673,1.09475,0.65676,0.56242,0.58336,0.35366,1.35453,1.12591,1.35646,0.00406,0.00406,0.00406
32,553.684,1.01903,0.69167,1.0934,0.73234,0.51602,0.57412,0.35235,1.36466,1.14861,1.3816,0.003862,0.003862,0.003862
33,570.821,0.9928,0.67485,1.07349,0.74592,0.53022,0.58642,0.35405,1.37183,1.08137,1.4023,0.003664,0.003664,0.003664
34,588.116,1.00345,0.67908,1.07994,0.71364,0.52501,0.58195,0.35063,1.37821,1.13292,1.36639,0.003466,0.003466,0.003466
35,605.174,0.98403,0.67347,1.07656,0.68068,0.51937,0.57112,0.35104,1.34355,1.14018,1.36097,0.003268,0.003268,0.003268
36,622.402,0.97683,0.6497,1.06265,0.7187,0.53916,0.59008,0.35754,1.35016,1.08635,1.37044,0.00307,0.00307,0.00307
