epoch,time,train/box_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),val/box_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
1,14.2573,1.43638,3.00145,1.46428,0.30709,0.29698,0.24679,0.15019,1.17995,1.92395,1.34481,0.0721,0.0031,0.0031
2,26.9229,1.26339,1.59084,1.30651,0.45351,0.45107,0.41321,0.24766,1.15324,1.47153,1.29915,0.0431753,0.00617526,0.00617526
3,39.6128,1.23485,1.39095,1.27052,0.47978,0.40902,0.42778,0.2518,1.21961,1.6337,1.30775,0.0141238,0.0091238,0.0091238
4,51.9554,1.23722,1.30219,1.24031,0.50066,0.50402,0.47272,0.27868,1.26203,1.43881,1.32244,0.009406,0.009406,0.009406
5,64.6816,1.2481,1.23298,1.2459,0.50931,0.42243,0.4193,0.24761,1.31032,1.52443,1.38403,0.009208,0.009208,0.009208
6,77.3176,1.238,1.18932,1.2583,0.53129,0.42648,0.44257,0.25858,1.37881,1.46373,1.44229,0.00901,0.00901,0.00901
7,89.8151,1.22852,1.14992,1.24827,0.48944,0.4666,0.44133,0.25961,1.36205,1.53686,1.42422,0.008812,0.008812,0.008812
8,102.111,1.22431,1.10732,1.23513,0.5331,0.44088,0.43839,0.25624,1.38699,1.43508,1.45454,0.008614,0.008614,0.008614
9,114.351,1.20145,1.08708,1.21986,0.58538,0.45482,0.47057,0.28099,1.32634,1.30988,1.37822,0.008416,0.008416,0.008416
10,126.723,1.19381,1.0704,1.21019,0.55988,0.47392,0.48885,0.28934,1.36067,1.31372,1.43152,0.008218,0.008218,0.008218
11,139.054,1.17434,1.07643,1.21379,0.52976,0.43286,0.45166,0.26023,1.37353,1.36884,1.40158,0.00802,0.00802,0.00802
12,151.507,1.17516,1.05793,1.22703,0.53525,0.49953,0.48287,0.29447,1.33955,1.27821,1.38622,0.007822,0.007822,0.007822
13,163.893,1.16008,0.98788,1.18996,0.57671,0.4705,0.48155,0.28665,1.37164,1.34788,1.41555,0.007624,0.007624,0.007624
14,176.88,1.16508,0.97407,1.18858,0.59288,0.49823,0.5055,0.30108,1.35378,1.21692,1.41941,0.007426,0.007426,0.007426
15,189.22,1.10675,0.92432,1.169,0.6157,0.4981,0.51901,0.31828,1.36946,1.20598,1.41816,0.007228,0.007228,0.007228
16,202.533,1.11617,0.91935,1.16604,0.64218,0.49254,0.53419,0.3198,1.29462,1.15512,1.35779,0.00703,0.00703,0.00703
17,215.382,1.10661,0.8846,1.15707,0.6063,0.50824,0.51452,0.30703,1.34418,1.24736,1.39413,0.006832,0.006832,0.006832
18,227.572,1.09788,0.88519,1.15928,0.67698,0.49117,0.54142,0.33517,1.2859,1.11634,1.36464,0.006634,0.006634,0.006634
